
Date,Open Price,High,Low,Close Price,Volume
10/20/2023,157.12,163.93,156.67,160.22,2391218
10/23/2023,177.57,179.47,177.21,178.88,2031619
10/24/2023,172.36,178.55,169.6,174.3,1999151
10/25/2023,175.71,178.95,172.95,173.15,925438
10/26/2023,170.69,179.03,162.82,176.9,2717043
10/27/2023,135.45,141.74,125.7,126.74,1822892
10/30/2023,137.45,139.44,133.74,139.19,2041968
10/31/2023,156.33,156.98,152.04,152.16,2999391
11/1/2023,142.3,142.73,133.85,140.02,1435719
11/2/2023,153.83,157.54,151.15,151.68,2413374
11/3/2023,149.72,152.38,148.16,152,1608258
11/6/2023,157.47,163.93,148.94,155.9,1130170
11/7/2023,167.34,172.33,166.87,167.62,981948
11/8/2023,165.77,168.43,159.57,162.59,2006751
11/9/2023,156.06,157.55,150.44,151.61,1753692
11/10/2023,171.12,172.39,167.66,168.47,1985493
11/13/2023,151.54,160.19,148.39,159.58,1017770
11/14/2023,174.84,177.27,167.12,171.64,1442613
11/15/2023,133.56,140.08,132.7,138.52,2161871
11/16/2023,177.73,185.84,175.36,182.06,2783691
11/17/2023,162.73,168.87,155.41,164.51,2515880
11/20/2023,149,157.6,143.52,145.37,2687895
11/21/2023,139.86,143.78,138.58,139.8,1907229
11/22/2023,153.96,163.52,145.14,159.6,2590008
11/23/2023,139.73,141.06,135.8,140.91,2626525
11/24/2023,138.32,139.34,130.04,132.48,1118766
11/27/2023,160.87,167.46,152.99,156.92,2138530
11/28/2023,156.15,165.58,149.91,157.32,2757233
11/29/2023,163.5,171.59,158.56,171.38,1072647
11/30/2023,176.48,177.24,166.68,169.52,2981913
12/1/2023,156.61,159.4,155.16,156.89,2278768
12/4/2023,159.05,168.35,151.8,166.55,2365213
12/5/2023,134.48,137.01,132.57,132.58,1730370
12/6/2023,165.88,173.69,162.5,162.94,1488152
12/7/2023,150,158.25,146.91,153.76,1202980
12/8/2023,178.84,183.79,169.37,182.45,1838336
12/11/2023,171.16,175.02,161.49,164.72,1968932
12/12/2023,156.12,160.62,154.29,157.26,2939879
12/13/2023,136.16,138.43,135.94,137.06,2380932
12/14/2023,172.97,181.86,165.77,173.38,2249087
12/15/2023,169.99,174.5,165.81,171.22,2908542
